,Paragraph Text,Binary Emotion Class/Score,Ekman Emotion Class
0,Through the Trapdoor ,"{'labels': ['neutral'], 'scores': [0.9974632]}","{'labels': ['neutral'], 'scores': [0.9990608]}"
1,"In years to come, Harry would never quite remember how he had managed to get through his exams when he half expected Voldemort to come bursting through the door at any moment. Yet the days crept by, and there could be no doubt that Fluffy was still alive and well behind the locked door. ","{'labels': ['neutral'], 'scores': [0.9980856]}","{'labels': ['neutral'], 'scores': [0.99686015]}"
2,"It was sweltering hot, especially in the large classroom where they did their written papers. They had been given special, new quills for the exams, which had been bewitched with an Anticheating spell. ","{'labels': ['neutral'], 'scores': [0.99872404]}","{'labels': ['neutral'], 'scores': [0.99680483]}"
3,"They had practical exams as well. Professor Flitwick called them one by one into his class to see if they could make a pineapple tapdance across a desk. Professor McGonagall watched them turn a mouse into a snuffbox -- points were given for how pretty the snuffbox was, but taken away if it had whiskers. Snape made them all nervous, breathing down their necks while they tried to remember how to make a Forgetfulness potion. ","{'labels': ['negative', 'neutral'], 'scores': [0.7912619, 0.9941413]}","{'labels': ['fear', 'neutral'], 'scores': [0.35927072, 0.98847383]}"
4,"Harry did the best he could, trying to ignore the stabbing pains in his forehead, which had been bothering him ever since his trip into the forest. Neville thought Harry had a bad case of exam nerves because Harry couldn't sleep, but the truth was that Harry kept being woken by his old nightmare, except that it was now worse than ever because there was a hooded figure dripping blood in it. ","{'labels': ['negative', 'neutral'], 'scores': [0.97347033, 0.50775427]}","{'labels': ['neutral'], 'scores': [0.9813255]}"
5,"Maybe it was because they hadn't seen what Harry had seen in the forest, or because they didn't have scars burning on their foreheads, but Ron and Hermione didn't seem as worried about the Stone as Harry. The idea of Voldemort certainly scared them, but he didn't keep visiting them in dreams, and they were so busy with their studying they didn't have much time to fret about what Snape or anyone else might be up to. ","{'labels': ['neutral'], 'scores': [0.9974074]}","{'labels': ['fear', 'neutral'], 'scores': [0.41095316, 0.9851387]}"
6,"Their very last exam was History of Magic. One hour of answering questions about batty old wizards who'd invented selfstirring cauldrons and they'd be free, free for a whole wonderful week until their exam results came out. When the ghost of Professor Binns told them to put down their quills and roll up their parchment, Harry couldn't help cheering with the rest. ","{'labels': ['neutral', 'positive'], 'scores': [0.9774884, 0.32836708]}","{'labels': ['neutral'], 'scores': [0.9967758]}"
7,"""That was far easier than I thought it would be,"" said Hermione as they joined the crowds flocking out onto the sunny grounds. ""I needn't have learned about the 1637 Werewolf Code of Conduct or the uprising of Elfric the Eager."" ","{'labels': ['neutral'], 'scores': [0.996454]}","{'labels': ['neutral'], 'scores': [0.99905866]}"
8,"Hermione always liked to go through their exam papers afterward, but Ron said this made him feel ill, so they wandered down to the lake and flopped under a tree. The Weasley twins and Lee Jordan were tickling the tentacles of a giant squid, which was basking in the warm shallows. ""No more studying,"" Ron sighed happily, stretching out on the grass. ""You could look more cheerful, Harry, we've got a week before we find out how badly we've done, there's no need to worry yet."" ","{'labels': ['positive'], 'scores': [0.9721991]}","{'labels': ['joy', 'neutral'], 'scores': [0.7183132, 0.971823]}"
9,Harry was rubbing his forehead. ,"{'labels': ['neutral'], 'scores': [0.9989465]}","{'labels': ['neutral'], 'scores': [0.9993024]}"
10,"""I wish I knew what this means!"" he burst out angrily. ""My scar keeps hurting -- it's happened before, but never as often as this."" ","{'labels': ['negative'], 'scores': [0.9990056]}","{'labels': ['anger'], 'scores': [0.9975994]}"
11,"""Go to Madam Pomfrey,"" Hermione suggested. ","{'labels': ['neutral'], 'scores': [0.9994363]}","{'labels': ['neutral'], 'scores': [0.9994685]}"
12,"""I'm not ill,"" said Harry. ""I think it's a warning... it means danger's coming..."" ","{'labels': ['neutral'], 'scores': [0.99891865]}","{'labels': ['neutral'], 'scores': [0.99547195]}"
13,"Ron couldn't get worked up, it was too hot. ","{'labels': ['neutral'], 'scores': [0.99918836]}","{'labels': ['neutral'], 'scores': [0.99794585]}"
14,"""Harry, relax, Hermione's right, the Stone's safe as long as Dumbledore's around. Anyway, we've never had any proof Snape found out how to get past Fluffy. He nearly had his leg ripped off once, he's not going to try it again in a hurry. And Neville will play Quidditch for England before Hagrid lets Dumbledore down."" ","{'labels': ['neutral'], 'scores': [0.9997009]}","{'labels': ['neutral'], 'scores': [0.99962544]}"
15,"Harry nodded, but he couldn't shake off a lurking feeling that there was something he'd forgotten to do, something important. When he tried to explain this, Hermione said, ""That's just the exams. I woke up last night and was halfway through my Transfiguration notes before I remembered we'd done that one."" ","{'labels': ['neutral'], 'scores': [0.99938667]}","{'labels': ['neutral'], 'scores': [0.9984097]}"
16,"Harry was quite sure the unsettled feeling didn't have anything to do with work, though. He watched an owl flutter toward the school across the bright blue sky, a note clamped in its mouth. Hagrid was the only one who ever sent him letters. Hagrid would never betray Dumbledore. Hagrid would never tell anyone how to get past Fluffy... never... but... ","{'labels': ['neutral'], 'scores': [0.999423]}","{'labels': ['neutral'], 'scores': [0.9994324]}"
17,Harry suddenly jumped to his feet. ,"{'labels': ['neutral'], 'scores': [0.997373]}","{'labels': ['neutral', 'surprise'], 'scores': [0.3109835, 0.97678024]}"
18,"""Where're you going?"" said Ron sleepily. ","{'labels': ['neutral'], 'scores': [0.95960325]}","{'labels': ['neutral'], 'scores': [0.9912606]}"
19,"""I've just thought of something,"" said Harry. He had turned white. ""We've got to go and see Hagrid, now."" ","{'labels': ['neutral'], 'scores': [0.99940777]}","{'labels': ['neutral'], 'scores': [0.9995233]}"
20,"""Why?"" panted Hermione, hurrying to keep up. ","{'labels': ['neutral', 'positive'], 'scores': [0.91166866, 0.38307646]}","{'labels': ['neutral'], 'scores': [0.9946491]}"
21,"""Don't you think it's a bit odd,"" said Harry, scrambling up the grassy slope, ""that what Hagrid wants more than anything else is a dragon, and a stranger turns up who just happens to have an egg in his pocket? How many people wander around with dragon eggs if it's against wizard law? Lucky they found Hagrid, don't you think? Why didn't I see it before?"" ","{'labels': ['ambiguous'], 'scores': [0.996221]}","{'labels': ['neutral', 'surprise'], 'scores': [0.6213606, 0.97925067]}"
