idx,Paragraph Text,Binary Emotion Class/Score
0,The Vanishing Glass ,"{'labels': ['neutral'], 'scores': [0.998789]}"
1,"Nearly ten years had passed since the Dursleys had woken up to find their nephew on the front step, but Privet Drive had hardly changed at all. The sun rose on the same tidy front gardens and lit up the brass number four on the Dursleys' front door; it crept into their living room, which was almost exactly the same as it had been on the night when Mr. Dursley had seen that fateful news report about the owls. Only the photographs on the mantelpiece really showed how much time had passed. Ten years ago, there had been lots of pictures of what looked like a large pink beach ball wearing different-colored bonnets -- but Dudley Dursley was no longer a baby, and now the photographs showed a large blond boy riding his first bicycle, on a carousel at the fair, playing a computer game with his father, being hugged and kissed by his mother. The room held no sign at all that another boy lived in the house, too. ","{'labels': ['neutral'], 'scores': [0.9988514]}"
2,"Yet Harry Potter was still there, asleep at the moment, but not for long. His Aunt Petunia was awake and it was her shrill voice that made the first noise of the day. ","{'labels': ['neutral'], 'scores': [0.98074496]}"
3,"""Up! Get up! Now!"" ","{'labels': ['neutral'], 'scores': [0.99630004]}"
4,Harry woke with a start. His aunt rapped on the door again. ,"{'labels': ['neutral'], 'scores': [0.9989293]}"
5,"""Up!"" she screeched. Harry heard her walking toward the kitchen and then the sound of the frying pan being put on the stove. He rolled onto his back and tried to remember the dream he had been having. It had been a good one. There had been a flying motorcycle in it. He had a funny feeling he'd had the same dream before. ","{'labels': ['positive'], 'scores': [0.9994844]}"
6,His aunt was back outside the door. ,"{'labels': ['neutral'], 'scores': [0.99933285]}"
7,"""Are you up yet?"" she demanded. ","{'labels': ['neutral'], 'scores': [0.85804987]}"
8,"""Nearly,"" said Harry. ","{'labels': ['neutral', 'positive'], 'scores': [0.30272973, 0.96494603]}"
9,"""Well, get a move on, I want you to look after the bacon. And don't you dare let it burn, I want everything perfect on Duddy's birthday."" ","{'labels': ['positive'], 'scores': [0.99665654]}"
10,Harry groaned. ,"{'labels': ['negative'], 'scores': [0.9855239]}"
11,"""What did you say?"" his aunt snapped through the door. ","{'labels': ['neutral'], 'scores': [0.9989355]}"
12,"""Nothing, nothing..."" ","{'labels': ['neutral'], 'scores': [0.99894446]}"
13,"Dudley's birthday -- how could he have forgotten? Harry got slowly out of bed and started looking for socks. He found a pair under his bed and, after pulling a spider off one of them, put them on. Harry was used to spiders, because the cupboard under the stairs was full of them, and that was where he slept. ","{'labels': ['neutral'], 'scores': [0.99729115]}"
14,"When he was dressed he went down the hall into the kitchen. The table was almost hidden beneath all Dudley's birthday presents. It looked as though Dudley had gotten the new computer he wanted, not to mention the second television and the racing bike. Exactly why Dudley wanted a racing bike was a mystery to Harry, as Dudley was very fat and hated exercise -- unless of course it involved punching somebody. Dudley's favorite punching bag was Harry, but he couldn't often catch him. Harry didn't look it, but he was very fast. ","{'labels': ['neutral'], 'scores': [0.99785596]}"
15,"Perhaps it had something to do with living in a dark cupboard, but Harry had always been small and skinny for his age. He looked even smaller and skinnier than he really was because all he had to wear were old clothes of Dudley's, and Dudley was about four times bigger than he was. Harry had a thin face, knobbly knees, black hair, and bright green eyes. He wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched him on the nose. The only thing Harry liked about his own appearance was a very thin scar on his forehead that was shaped like a bolt of lightning. He had had it as long as he could remember, and the first question he could ever remember asking his Aunt Petunia was how he had gotten it. ","{'labels': ['neutral'], 'scores': [0.99956125]}"
16,"""In the car crash when your parents died,"" she had said. ""And don't ask questions."" ","{'labels': ['neutral'], 'scores': [0.9994943]}"
17,Don't ask questions -- that was the first rule for a quiet life with the Dursleys. ,"{'labels': ['neutral', 'positive'], 'scores': [0.9909916, 0.81262773]}"
18,Uncle Vernon entered the kitchen as Harry was turning over the bacon. ,"{'labels': ['neutral'], 'scores': [0.99901474]}"
19,"""Comb your hair!"" he barked, by way of a morning greeting. ","{'labels': ['neutral'], 'scores': [0.9993987]}"
20,"About once a week, Uncle Vernon looked over the top of his newspaper and shouted that Harry needed a haircut. Harry must have had more haircuts than the rest of the boys in his class put together, but it made no difference, his hair simply grew that way -- all over the place. ","{'labels': ['neutral'], 'scores': [0.9990608]}"
21,"Harry was frying eggs by the time Dudley arrived in the kitchen with his mother. Dudley looked a lot like Uncle Vernon. He had a large pink face, not much neck, small, watery blue eyes, and thick blond hair that lay smoothly on his thick, fat head. Aunt Petunia often said that Dudley looked like a baby angel -- Harry often said that Dudley looked like a pig in a wig. ","{'labels': ['neutral'], 'scores': [0.99929893]}"
22,"Harry put the plates of egg and bacon on the table, which was difficult as there wasn't much room. Dudley, meanwhile, was counting his presents. His face fell. ","{'labels': ['neutral'], 'scores': [0.99838674]}"
23,"""Thirty-six,"" he said, looking up at his mother and father. ""That's two less than last year."" ","{'labels': ['neutral'], 'scores': [0.9981969]}"
